Customer Name ,Name,Item,Description,Amount,Status,Sales Rep,Support End Date [NEW],Date,Completion Date ,Internal ID,Support Start Date  [New]
Arts United Center,21178-2 Arts United Center : Arts United Center AV Bid - REV 1,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",13500,Pending Fulfillment,Kory Young,,12/17/2024,,11240,
"Nationwide Children's Hospital, Inc.","21184 Nationwide Children's Hospital, Inc. : NCH - D00761 - laser projector",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",176,Billed,Brian Moloney,3/31/2027,1/25/2024,3/25/2024,9702,3/25/2024
INDIAN HILL EXEMPTED VILLAGE,21185 INDIAN HILL EXEMPTED VILLAGE : SERVICE - Indian Hill Exempted Village,Onsite Support,Onsite Troubleshooting,740,Billed,BRITTANY MULLINS,,2/2/2024,,9704,
Hillman Group,21191 Hillman Group : Belton KC Remote service contract,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1450,Pending Fulfillment,ROCKY PANGALLO,2/28/2025,1/29/2024,,9722,
"UNITED DAIRY FARMERS (Cincinnati, OH)","21203 UNITED DAIRY FARMERS (Cincinnati, OH) : SERVICE - United Dairy Farmers",Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,7/23/2024,,9712,
Kimball International,21204 Kimball International : HQ Refresh of AV,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3487.5,Closed,ANDREA  NICHOLSON,10/31/2027,5/6/2024,11/25/2024,10663,11/25/2024
Kimball International,21204 Kimball International : HQ Refresh of AV,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",7500,Closed,ANDREA  NICHOLSON,10/31/2027,5/6/2024,11/25/2024,10663,11/25/2024
Kimball International,21204 Kimball International : HQ Refresh of AV,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2775,Closed,ANDREA  NICHOLSON,10/31/2027,5/6/2024,11/25/2024,10663,11/25/2024
Kimball International,21204 Kimball International : HQ Refresh of AV,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3600,Closed,ANDREA  NICHOLSON,10/31/2027,5/6/2024,11/25/2024,10663,11/25/2024
University of Louisville,21210 University of Louisville : Service - University of Louisville,Onsite Support,Onsite Troubleshooting,290,Billed,BRAD  COOPER,,10/14/2024,2/16/2024,9728,2/16/2024
Elanco,21211 Elanco : Service - Elanco,Onsite Support,Onsite Troubleshooting,500,Billed,ANDREA  NICHOLSON,,3/7/2024,,9732,
Elanco,21211 Elanco : Service - Elanco,Onsite Support,Onsite Troubleshooting,375,Billed,,,8/9/2024,,9732,
Elanco,21211 Elanco : Service - Elanco,Onsite Support,Onsite Troubleshooting,375,Billed,,,9/10/2024,,9732,
Elanco,21211 Elanco : Service - Elanco,Onsite Support,Onsite Troubleshooting,500,Billed,,,9/26/2024,,9732,
Elanco,21211 Elanco : Service - Elanco,Onsite Support,Onsite Troubleshooting,312.5,Billed,,,10/11/2024,,9732,
Elanco,21211 Elanco : Service - Elanco,Onsite Support,Onsite Troubleshooting,375,Partially Fulfilled,,,11/1/2024,,9732,
Elanco,21211 Elanco : Service - Elanco,Onsite Support,Onsite Troubleshooting,437.5,Billed,,,11/13/2024,,9732,
Ohio Public Employees Retirement System (OPERS),21211 Ohio Public Employees Retirement System (OPERS) : Projector Repair,Onsite Support,Onsite Troubleshooting,250,Billed,ANDREA  NICHOLSON,,3/5/2024,10/11/2024,10039,10/11/2024
Workplace Investments,21214 Workplace Investments : Sound Masking,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",409,Billed,Whitney Turso,4/30/2027,2/2/2024,5/23/2024,9772,5/23/2024
Hillman Group,21255 Hillman Group : Old Headquarters,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3240,Billed,ROCKY PANGALLO,8/31/2027,4/18/2024,8/16/2024,10492,8/16/2024
Encova Insurance,21256 Encova Insurance : Columbus Room 328 Teams Update,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1450,Partially Fulfilled,Kory Young,7/31/2027,2/23/2024,12/20/2024,9954,12/20/2024
SWITZERLAND COUNTY SCHOOL CORPORATION,21259 SWITZERLAND COUNTY SCHOOL CORPORATION : Service - Switzerland County High School,Onsite Support,Onsite Troubleshooting,370,Billed,BRITTANY MULLINS,,3/4/2024,,9742,
"Nationwide Children's Hospital, Inc.","21261 Nationwide Children's Hospital, Inc. : NCH - Partners for Kids - Scheduling panel x2",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",104,Billed,Brian Moloney,3/31/2025,2/13/2024,5/21/2024,9862,5/21/2024
"Nationwide Children's Hospital, Inc.","21263 Nationwide Children's Hospital, Inc. : NCH - Partners for Kids - Scheduling panel x5",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",260,Billed,Brian Moloney,6/30/2025,4/12/2024,10/11/2024,10083,10/11/2024
Central Indiana Community Foundation,21296 Central Indiana Community Foundation : Service Agreement 2024,Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,7150,Closed,ANDREA  NICHOLSON,2/28/2025,2/2/2024,12/6/2024,9770,12/6/2024
UCHealth,21299 UCHealth : West Chester Plaza 2024-2026 Support (3yr),Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",14400,Pending Fulfillment,BRAD  COOPER,12/31/2026,3/29/2024,,10270,
Huseman Group,21304 Huseman Group : Operating Room AV,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2500,Billed,BRAD  COOPER,5/31/2027,4/1/2024,9/25/2024,10280,9/25/2024
Merchants Bank,21331 Merchants Bank : Service - Merchants Bank,Onsite Support,Onsite Troubleshooting,600,Pending Fulfillment,Brian Moloney,,10/4/2024,,9815,
NEW MIAMI LOCAL SCHOOL DISTRICT : NEW MIAMI MIDDLE SCHOOL,21332 NEW MIAMI LOCAL SCHOOL DISTRICT : NEW MIAMI MIDDLE SCHOOL : SERVICE - New Miami Middle School,Onsite Support,Onsite Troubleshooting,1480,Billed,BRITTANY MULLINS,,2/29/2024,,9817,
NEW MIAMI LOCAL SCHOOL DISTRICT : NEW MIAMI MIDDLE SCHOOL,21332 NEW MIAMI LOCAL SCHOOL DISTRICT : NEW MIAMI MIDDLE SCHOOL : SERVICE - New Miami Middle School,Onsite Support,Onsite Troubleshooting,0,Billed,BRITTANY MULLINS,,3/4/2024,,9817,
Wendy's,21332 Wendy's : Wendy's - HQ Appspace Players,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",5760,Pending Billing,Brian Moloney,,10/16/2024,,12188,
Alta Fiber,21352 Alta Fiber : 1819 Innovation Small Rm standard,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1600,Partially Fulfilled,BRAD  COOPER,7/31/2027,2/9/2024,5/17/2024,9839,5/17/2024
Renaissance Insurance,21369-1 Renaissance Insurance : RI - Boardroom - Mercury replacement with BYOD unit,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",448,Billed,Brian Moloney,8/31/2025,3/5/2024,10/11/2024,10051,10/11/2024
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger Motorola Support,"Motorola Complete Care for XPR 7550. Includes repair and/or replacement for damaged radios. Shipping costs are covered to Motorola and the return. The original site programming is included on all repaired/replaced radios. *Contract is good for 3 years, effective 1/1/2023-1/1/2026. To be paid annually.",18000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger Motorola Support,"Motorola Complete Care for XPR 7550. Includes repair and/or replacement for damaged radios. Shipping costs are covered to Motorola and the return. The original site programming is included on all repaired/replaced radios. *Contract is good for 3 years, effective 1/1/2023-1/1/2026. To be paid annually.",18000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger Motorola Support,"Motorola Complete Care for XPR 7550. Includes repair and/or replacement for damaged radios. Shipping costs are covered to Motorola and the return. The original site programming is included on all repaired/replaced radios. *Contract is good for 3 years, effective 1/1/2023-1/1/2026. To be paid annually.",18000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger Motorola Support,"Motorola Complete Care for XPR 7550. Includes repair and/or replacement for damaged radios. Shipping costs are covered to Motorola and the return. The original site programming is included on all repaired/replaced radios. *Contract is good for 3 years, effective 1/1/2023-1/1/2026. To be paid annually.",18000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger Motorola Support,"Motorola Complete Care for XPR 7550. Includes repair and/or replacement for damaged radios. Shipping costs are covered to Motorola and the return. The original site programming is included on all repaired/replaced radios. *Contract is good for 3 years, effective 1/1/2023-1/1/2026. To be paid annually.",18000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger Motorola Support,"Motorola Complete Care for XPR 7550. Includes repair and/or replacement for damaged radios. Shipping costs are covered to Motorola and the return. The original site programming is included on all repaired/replaced radios. *Contract is good for 3 years, effective 1/1/2023-1/1/2026. To be paid annually.",18000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,54000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,54000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,54000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,54000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,54000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
KROGER COMPANY,21375 KROGER COMPANY : 2024 MTR-Paging-AV Support Contract,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,54000,Billed,PATRICK D FRIEND,,2/12/2024,,9851,
"Nationwide Children's Hospital, Inc.","21441 Nationwide Children's Hospital, Inc. : NCH - Equipment to fix rooms - box sale",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",320,Billed,Brian Moloney,8/31/2027,2/20/2024,10/11/2024,9932,10/11/2024
OhioHealth,21464-v2 OhioHealth : RMH Tugaoen conference room T1V updates V2,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",11890,Pending Fulfillment,Kory Young,,11/1/2024,,12362,
Mid City Electric,21482 Mid City Electric : Mid City Westerville Electric AV etc.,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",5437.5,Partially Fulfilled,Kory Young,10/23/2027,5/2/2024,,10529,
SMOKE JUSTIS,21489 SMOKE JUSTIS : Smoke Justis Sound Upgrade,Onsite Support,Onsite Troubleshooting,0,Billed,DEREK  FORNASH,,3/27/2024,12/18/2024,10175,12/18/2024
Huseman Group,21491 Huseman Group : Taystee Room AV - 1 Source,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",8000,Partially Fulfilled,BRAD  COOPER,7/31/2027,4/1/2024,9/25/2024,10282,9/25/2024
"Multiple Services, LLC","21493 Multiple Services, LLC : MS WPAFB Kenney Hall support agreement",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",20500,Pending Fulfillment,Cody Ramey,9/30/2025,8/13/2024,8/19/2024,11576,8/19/2024
Gorilla Glue,21502 Gorilla Glue : Service - Gorilla Glue,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,4/19/2024,,9936,
Gorilla Glue,21502 Gorilla Glue : Service - Gorilla Glue,Onsite Support,Onsite Troubleshooting,925,Billed,DEREK  FORNASH,,6/10/2024,,9936,
Gorilla Glue,21502 Gorilla Glue : Service - Gorilla Glue,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,6/25/2024,,9936,
Gorilla Glue,21502 Gorilla Glue : Service - Gorilla Glue,Onsite Support,Onsite Troubleshooting,740,Billed,DEREK  FORNASH,,6/25/2024,,9936,
Gorilla Glue,21502 Gorilla Glue : Service - Gorilla Glue,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,7/18/2024,,9936,
Gorilla Glue,21502 Gorilla Glue : Service - Gorilla Glue,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,10/17/2024,,9936,
Gorilla Glue,21502 Gorilla Glue : Service - Gorilla Glue,Onsite Support,Onsite Troubleshooting,185,Billed,DEREK  FORNASH,,11/4/2024,,9936,
Gorilla Glue,21502 Gorilla Glue : Service - Gorilla Glue,Onsite Support,Onsite Troubleshooting,832.5,Billed,DEREK  FORNASH,,12/6/2024,,9936,
Crittenden-Mt Zion Elementary,21526 Crittenden-Mt Zion Elementary : SERVICE - Crittenden-Mt Zion Elementary,Onsite Support,Onsite Troubleshooting,555,Billed,BRITTANY MULLINS,,2/27/2024,,9959,
Crittenden-Mt Zion Elementary,21526 Crittenden-Mt Zion Elementary : SERVICE - Crittenden-Mt Zion Elementary,Onsite Support,Onsite Troubleshooting,740,Billed,BRITTANY MULLINS,,2/28/2024,,9959,
Franciscan Alliance,21527 Franciscan Alliance : Service - Franciscan Alliance,Onsite Support,Onsite Troubleshooting,375,Billed,ANDREA  NICHOLSON,,4/1/2024,,9960,
Franciscan Alliance,21527 Franciscan Alliance : Service - Franciscan Alliance,Onsite Support,Onsite Troubleshooting,437.5,Billed,ANDREA  NICHOLSON,,5/2/2024,,9960,
Franciscan Alliance,21527 Franciscan Alliance : Service - Franciscan Alliance,Onsite Support,Onsite Troubleshooting,250,Billed,ANDREA  NICHOLSON,,5/2/2024,,9960,
Franciscan Alliance,21527 Franciscan Alliance : Service - Franciscan Alliance,Onsite Support,Onsite Troubleshooting,187.5,Billed,ANDREA  NICHOLSON,,8/6/2024,,9960,
Franciscan Alliance,21527 Franciscan Alliance : Service - Franciscan Alliance,Onsite Support,Onsite Troubleshooting,250,Partially Fulfilled,ANDREA  NICHOLSON,,9/27/2024,,9960,
Franciscan Alliance,21527 Franciscan Alliance : Service - Franciscan Alliance,Onsite Support,Onsite Troubleshooting,250,Billed,ANDREA  NICHOLSON,,11/11/2024,,9960,
Franciscan Alliance,21527 Franciscan Alliance : Service - Franciscan Alliance,Onsite Support,Onsite Troubleshooting,250,Billed,ANDREA  NICHOLSON,,12/5/2024,,9960,
Franciscan Alliance,21527 Franciscan Alliance : Service - Franciscan Alliance,Onsite Support,Onsite Troubleshooting,125,Billed,ANDREA  NICHOLSON,,12/6/2024,,9960,
THE SUMMIT HOTEL,21528 THE SUMMIT HOTEL : SERVICE - The Summit Hotel,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,2/29/2024,,9968,
THE SUMMIT HOTEL,21528 THE SUMMIT HOTEL : SERVICE - The Summit Hotel,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,9/27/2024,,9968,
THE SUMMIT HOTEL,21528 THE SUMMIT HOTEL : SERVICE - The Summit Hotel,Onsite Support,Onsite Troubleshooting,1110,Billed,DEREK  FORNASH,,12/19/2024,,9968,
Mayerson JCC,21529 Mayerson JCC : SERVICE-Mayerson jcc,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,3/1/2024,,9970,
Merchants Bank,21541 Merchants Bank : Greensfork & Board Room Conference Room - Teams,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",8480,Partially Fulfilled,Brian Moloney,6/30/2027,3/20/2024,11/25/2024,10187,11/25/2024
General Electric Aviation,21556 General Electric Aviation : 2024 - AV Support (Q2 2024 - Q1 2025),Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,17426,Billed,BRITTANY MULLINS,5/16/2025,5/17/2024,5/16/2025,10815,5/16/2025
General Electric Aviation,21556 General Electric Aviation : 2024 - AV Support (Q2 2024 - Q1 2025),Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,4976,Billed,BRITTANY MULLINS,5/16/2025,5/17/2024,5/16/2025,10815,5/16/2025
General Electric Aviation,21556 General Electric Aviation : 2024 - AV Support (Q2 2024 - Q1 2025),Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,28516,Billed,BRITTANY MULLINS,5/16/2025,5/17/2024,5/16/2025,10815,5/16/2025
General Electric Aviation,21556 General Electric Aviation : 2024 - AV Support (Q2 2024 - Q1 2025),Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,9187,Billed,BRITTANY MULLINS,5/16/2025,5/17/2024,5/16/2025,10815,5/16/2025
General Electric Aviation,21556 General Electric Aviation : 2024 - AV Support (Q2 2024 - Q1 2025),Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,21246,Billed,BRITTANY MULLINS,5/16/2025,5/17/2024,5/16/2025,10815,5/16/2025
General Electric Aviation : GE Additive Technology Center (Windisch),21560 General Electric Aviation : GE Additive Technology Center (Windisch) : SERVICE - GE Areospace Additive Technology Center (Windisch),Onsite Support,Onsite Troubleshooting,832.5,Billed,DEREK  FORNASH,,3/6/2024,,9987,
"Nationwide Children's Hospital, Inc.","21562 Nationwide Children's Hospital, Inc. : NCH - laser projector - box sale",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",600,Billed,Brian Moloney,6/30/2025,3/28/2024,5/21/2024,10262,5/21/2024
THREE RIVERS LOCAL SCHOOL DISTRICT,21562 THREE RIVERS LOCAL SCHOOL DISTRICT : Service - Three Rivers Local School District,Onsite Support,Onsite Troubleshooting,0,Pending Fulfillment,DEREK  FORNASH,,3/11/2024,,9989,
TALBERT HOUSE,21564 TALBERT HOUSE : Service-Talbert House,Onsite Support,Onsite Troubleshooting,925,Billed,DEREK  FORNASH,,2/29/2024,,10003,
L'OREAL USA INC.,21565 L'OREAL USA INC. : Service-L-Oreal USA Inc.,Onsite Support,Onsite Troubleshooting,647.5,Billed,DEREK  FORNASH,,2/29/2024,,10004,
WILLIAMS PLACE APARTMENTS,21569 WILLIAMS PLACE APARTMENTS : Service-Williams Place Apartments,Onsite Support,Onsite Troubleshooting,740,Billed,BRITTANY MULLINS,,2/29/2024,,10007,
Churchill Downs Incorporated,21596-1 Churchill Downs Incorporated : CDI - Lexington Office - AV,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",960,Billed,Brian Moloney,5/31/2025,3/6/2024,,10065,
"Nationwide Children's Hospital, Inc.","21617 Nationwide Children's Hospital, Inc. : NCH - replacement projector - box sale",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",60.8,Billed,Brian Moloney,6/30/2025,3/4/2024,5/21/2024,10029,5/21/2024
RayzeBio,21649 RayzeBio : 2nd Floor Conference Rooms,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2600,Billed,Whitney Turso,1/10/2028,7/29/2024,,11420,
Tinker House Events,21649 Tinker House Events : Service - Tinker House Events,Onsite Support,Onsite Troubleshooting,375,Billed,Whitney Turso,,4/1/2024,5/14/2024,10033,5/14/2024
